PLATFORM;DEVICE;READ MODE;WRITE MODE;INPUT FLAGS;OUTPUT FLAGS;SIZE;TIME;ITERATIONS
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;802816;30.47;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;921600;37.26;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;1048576;44.9;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;1183744;53.57;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;1327104;64.28;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;1478656;73.93;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;1638400;86.21;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;1806336;99.11;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;1982464;116.78;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;2166784;132.87;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;2359296;146.08;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;2560000;173.59;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;2768896;196.83;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;2985984;220.36;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;3211264;245.79;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;3444736;277.96;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;3686400;306.57;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;3936256;329.1;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;4194304;330.32;100
0;1 Devastator;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;4096;0.35;100
0;1 Devastator;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;16384;0.45;100
0;1 Devastator;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;36864;0.69;100
0;1 Devastator;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;65536;1.29;100
0;1 Devastator;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;102400;2.2;100
0;1 Devastator;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;147456;3.56;100
0;1 Devastator;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;200704;5.32;100
0;1 Devastator;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;262144;7.79;100
0;1 Devastator;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;331776;10.71;100
0;1 Devastator;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;409600;14.73;100
0;1 Devastator;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;495616;20;100
